"price","trim","isOneOwner","mileage","year","color","fuel","soundSystem","wheelType","displacement"
2.988,"Other","No",193.296,1995,"Black","Gasoline","unsp","Alloy",3.2
6.595,"Other","No",129.948,1995,"Other","Gasoline","Premium","Alloy",3.2
7.993,"Other","No",140.428,1997,"White","Gasoline","Bose","Alloy",3.2
5.995,"Other","No",113.622,1999,"Silver","Gasoline","unsp","Alloy",4.2
3,"Other","No",167.673,1999,"Silver","Gasoline","unsp","Alloy",4.2
7.4,"430","No",82.419,2002,"White","Gasoline","Bose","Alloy",4.3
10.85,"430","No",101.264,2000,"White","Gasoline","unsp","unsp",4.3
8.99,"430","No",110.651,2001,"Black","Gasoline","unsp","Alloy",4.3
7.95,"430","No",108.173,2000,"Silver","Gasoline","Bose","unsp",4.3
7.995,"430","No",119.978,2000,"Black","Gasoline","unsp","Alloy",4.3
6.998,"430","No",187.977,2002,"Other","Gasoline","Premium","unsp",4.3
11.997,"430","No",106.093,2002,"Silver","Gasoline","Bose","unsp",4.3
2.8,"430","No",59.69,2002,"Black","Gasoline","unsp","unsp",4.3
11.459,"430","No",129.167,2003,"Other","Gasoline","Bose","unsp",4.3
4.995,"430","No",172.807,2002,"Other","Gasoline","Premium","Alloy",4.3
10.999,"430","No",76.577,2004,"Other","Gasoline","unsp","Alloy",4.3
10.765,"430","No",66.453,2002,"Silver","Gasoline","unsp","Alloy",4.3
9.994,"430","No",84.097,2003,"Silver","Gasoline","unsp","Alloy",4.3
9.995,"430","Yes",97.24,2002,"Other","Gasoline","unsp","Alloy",4.3
9.339,"430","No",143.997,2004,"Other","Gasoline","unsp","Alloy",4.3
8.8,"430","No",125.438,2004,"Silver","Gasoline","unsp","unsp",4.3
16.95,"430","No",83.507,2006,"Other","Gasoline","Premium","unsp",4.3
8.995,"430","No",121.64,2001,"Other","Gasoline","unsp","Alloy",4.3
8.875,"430","No",136.514,2001,"Other","Gasoline","Premium","Alloy",4.3
5.9,"430","No",144.645,2001,"Silver","Gasoline","unsp","unsp",4.3
6.995,"430","No",178,2002,"Silver","Gasoline","unsp","Alloy",4.3
7.99,"430","No",83.77,2003,"Silver","Gasoline","Bose","Alloy",4.3
7.999,"430","Yes",89.024,2002,"Silver","Gasoline","Premium","Alloy",4.3
6.995,"430","No",141.61,2002,"Silver","Gasoline","unsp","unsp",4.3
3.499,"430","No",176.699,2000,"Silver","Gasoline","unsp","Alloy",4.3
23,"430","No",75.677,2006,"Black","Gasoline","unsp","unsp",4.3
6.95,"430","No",126.162,2000,"White","Gasoline","Bose","Alloy",4.3
9.988,"Other","No",120.087,2001,"Silver","Gasoline","Premium","Alloy",5.4
16.995,"Other","Yes",74.002,2003,"Other","Gasoline","unsp","Alloy",5.4
9.995,"Other","No",129.672,2005,"Silver","Gasoline","Premium","unsp",5.4
20.562,"Other","No",85.831,2006,"Black","Gasoline","Premium","Alloy",5.4
11.9,"Other","No",138.19,2003,"Black","Gasoline","Premium","Alloy",5.4
21.695,"Other","No",71.048,2006,"Black","Gasoline","unsp","unsp",5.4
4.995,"500","No",131.649,2002,"Black","Gasoline","unsp","unsp",5
12.999,"500","No",79.858,2003,"Black","Gasoline","unsp","Alloy",5
4.995,"500","No",112.865,2000,"Black","Gasoline","unsp","unsp",5
8.996,"500","No",107.104,2003,"Other","Gasoline","unsp","Alloy",5
7,"500","No",98.041,2001,"Black","Gasoline","unsp","Alloy",5
10.5,"500","No",70.215,2001,"Black","Gasoline","Premium","Alloy",5
10.988,"500","No",133.331,2002,"Other","Gasoline","unsp","Alloy",5
8.998,"500","No",103.411,2003,"Black","Gasoline","Premium","Alloy",5
8.78,"500","No",147.045,2004,"Black","Gasoline","unsp","unsp",5
17.481,"500","No",67.955,2006,"Black","Gasoline","Bose","Alloy",5
19.999,"500","No",101,2006,"Silver","Gasoline","unsp","unsp",5
11.495,"500","No",70.33,2003,"Black","Gasoline","unsp","Alloy",5
8.995,"500","No",66.174,2000,"Silver","Gasoline","Bose","Alloy",5
5.995,"500","No",141.499,2002,"Other","Gasoline","unsp","Alloy",5
12.888,"500","No",111.971,2004,"Black","Gasoline","unsp","Alloy",5
11.9,"500","No",99.331,2003,"Black","Gasoline","unsp","unsp",5
7.8,"500","No",99.273,2000,"Silver","Gasoline","unsp","Alloy",5
5.995,"500","No",149.96,2003,"Black","Gasoline","Bose","unsp",5
9.995,"500","No",113.02,2001,"Other","Gasoline","Bose","Premium",5
11.991,"500","No",75.72,2002,"Black","Gasoline","unsp","unsp",5
7.995,"500","No",155.229,2002,"Black","Gasoline","unsp","Alloy",5
10.5,"500","No",107.333,2001,"Black","Gasoline","unsp","Alloy",5
9.992,"500","No",119.356,2003,"Black","Gasoline","unsp","unsp",5
6.995,"500","No",77.985,2000,"Black","Gasoline","Premium","Alloy",5
21.988,"Other","No",7.009,2001,"Other","Gasoline","unsp","Alloy",5.8
6.992,"Other","No",179.567,2002,"Silver","Gasoline","unsp","Alloy",5.8
14.977,"430","No",90.895,2005,"White","Gasoline","unsp","unsp",4.3
15.995,"430","No",69.903,2006,"Black","Gasoline","unsp","unsp",4.3
8.914,"430","No",188.321,2003,"Silver","Gasoline","unsp","Alloy",4.3
12.95,"430","No",107.48,2006,"Other","Gasoline","unsp","Alloy",4.3
11.96,"430","No",112.732,2004,"White","Gasoline","Bose","Alloy",4.3
12.999,"430","No",99.82,2005,"Silver","Gasoline","unsp","Alloy",4.3
13.991,"430","No",119.621,2005,"Silver","Gasoline","unsp","Alloy",4.3
10.995,"430","No",160.513,2006,"Black","Gasoline","Premium","Alloy",4.3
11.995,"430","No",132.277,2004,"Black","Gasoline","unsp","unsp",4.3
11.95,"430","No",71.377,2003,"Other","Gasoline","Premium","unsp",4.3
16.499,"500","No",73.246,2006,"Silver","Gasoline","Premium","Alloy",5
12.995,"500","No",109.108,2003,"Black","Gasoline","unsp","unsp",5
29.481,"550","No",56.29,2007,"Black","Gasoline","unsp","unsp",5.5
23.492,"550","No",85.201,2007,"Black","Gasoline","unsp","unsp",5.5
35.822,"550","Yes",16.894,2007,"Black","Gasoline","Harman Kardon","Alloy",5.5
49.91,"550","No",14.968,2009,"Black","Gasoline","unsp","unsp",5.5
28.9,"550","No",66.4,2007,"Silver","Gasoline","Premium","Alloy",5.5
24.99,"550","No",99.676,2007,"Other","Gasoline","Premium","Alloy",5.5
28.971,"550","No",79.852,2007,"Silver","Gasoline","Harman Kardon","Alloy",5.5
25.998,"550","No",103.557,2007,"Black","Gasoline","Harman Kardon","unsp",5.5
37.991,"550","No",70.011,2007,"Silver","Gasoline","Premium","Alloy",5.5
27.495,"550","No",109.431,2008,"White","Gasoline","Bose","unsp",5.5
24.9,"550","No",60,2007,"White","Gasoline","unsp","unsp",5.5
36.99,"550","No",66,2007,"Black","Gasoline","Premium","unsp",5.5
26.977,"550","Yes",90,2007,"Black","Gasoline","unsp","Alloy",5.5
38.89,"550","No",22.537,2008,"White","Gasoline","unsp","Alloy",5.5
20.995,"550","No",88.984,2007,"Black","Gasoline","unsp","unsp",5.5
28.981,"550","No",60.985,2007,"Silver","Gasoline","unsp","Alloy",5.5
26.5,"550","No",62.495,2008,"Black","Gasoline","Harman Kardon","unsp",5.5
28.991,"550","No",88.301,2008,"Black","Gasoline","Harman Kardon","unsp",5.5
32.995,"550","No",72,2008,"White","Gasoline","Harman Kardon","unsp",5.5
27.898,"550","No",91.091,2009,"Black","Gasoline","Harman Kardon","Alloy",5.5
24.883,"550","No",69.479,2007,"Silver","Gasoline","unsp","unsp",5.5
31.999,"550","No",83.457,2007,"Black","Gasoline","unsp","unsp",5.5
18.998,"550","No",89.511,2007,"Silver","Gasoline","unsp","unsp",5.5
33.993,"550","No",81.476,2009,"Black","Gasoline","unsp","unsp",5.5
23.9,"550","No",109.4,2007,"Silver","Gasoline","unsp","Alloy",5.5
26.9,"550","No",121,2007,"Other","Gasoline","unsp","unsp",5.5
18.525,"550","No",124.873,2007,"White","Gasoline","Harman Kardon","unsp",5.5
27.971,"550","No",86.447,2007,"Black","Gasoline","Harman Kardon","Alloy",5.5
26.488,"550","No",82.289,2008,"Silver","Gasoline","unsp","unsp",5.5
29.995,"550","No",87.839,2007,"White","Gasoline","unsp","unsp",5.5
21.997,"550","No",96.841,2007,"Other","Gasoline","Premium","unsp",5.5
26.884,"550","No",38.578,2007,"Black","Gasoline","unsp","unsp",5.5
29.995,"550","Yes",74,2007,"Black","Gasoline","Harman Kardon","unsp",5.5
29.994,"550","No",67.111,2009,"White","Gasoline","Harman Kardon","Alloy",5.5
39,"550","Yes",9.239,2009,"Black","Gasoline","unsp","unsp",5.5
38.895,"550","No",70.3,2009,"Black","Gasoline","Premium","Alloy",5.5
28.55,"550","No",113.473,2007,"Black","Gasoline","unsp","unsp",5.5
29.988,"550","No",63.748,2008,"Black","Gasoline","Harman Kardon","unsp",5.5
21.885,"550","No",102.9,2007,"Other","Gasoline","unsp","unsp",5.5
34.999,"550","No",62.4,2007,"Black","Gasoline","unsp","unsp",5.5
30.995,"550","No",67.065,2008,"Other","Gasoline","Harman Kardon","Alloy",5.5
40.918,"550","No",39.891,2009,"Black","Gasoline","Harman Kardon","Alloy",5.5
36.995,"550","No",38.314,2007,"Black","Gasoline","Premium","unsp",5.5
19.881,"550","Yes",131.621,2007,"Black","Gasoline","Harman Kardon","Alloy",5.5
22.999,"550","No",109,2007,"Silver","Gasoline","Premium","Alloy",5.5
34.999,"550","No",55.28,2008,"Black","Gasoline","Premium","Alloy",5.5
27.495,"550","No",94.7,2008,"Other","Gasoline","Premium","Alloy",5.5
28.95,"Other","Yes",120.929,2008,"Silver","Gasoline","unsp","Alloy",5.5
49.75,"Other","No",43.394,2009,"Silver","Gasoline","Harman Kardon","Alloy",5.5
34.9,"Other","No",82.794,2008,"Other","Gasoline","unsp","unsp",5.5
44.695,"Other","Yes",59.597,2008,"Black","Gasoline","Harman Kardon","unsp",6.3
48.995,"Other","No",64.677,2008,"White","Gasoline","unsp","Alloy",6.3
46.999,"550","No",32.467,2011,"White","Gasoline","Premium","Alloy",5.5
42.625,"550","No",28.199,2010,"Silver","Gasoline","Premium","unsp",5.5
52.888,"550","No",30.351,2011,"White","Gasoline","Harman Kardon","Alloy",5.5
58.995,"550","Yes",20.425,2011,"Black","Gasoline","Harman Kardon","Alloy",5.5
