DATE,NGDPRSAXDCBRQ
1996-01-01,175755.09375
1996-04-01,177237.796875
1996-07-01,184120.59375
1996-10-01,182294.59375
1997-01-01,183936.0
1997-04-01,185610.796875
1997-07-01,187571.09375
1997-10-01,189087.09375
1998-01-01,185658.296875
1998-04-01,188341.5
1998-07-01,188506.0
1998-10-01,186327.203125
1999-01-01,186903.90625
1999-04-01,187515.90625
1999-07-01,187644.203125
1999-10-01,190330.703125
2000-01-01,192466.796875
2000-04-01,194939.40625
2000-07-01,197481.703125
2000-10-01,199965.40625
2001-01-01,200481.296875
2001-04-01,199440.203125
2001-07-01,198618.09375
2001-10-01,197932.796875
2002-01-01,202246.09375
2002-04-01,203983.703125
2002-07-01,206059.796875
2002-10-01,208238.796875
2003-01-01,207512.90625
2003-04-01,205515.0
2003-07-01,207375.40625
2003-10-01,209661.59375
2004-01-01,212746.203125
2004-04-01,218398.296875
2004-07-01,220963.5
2004-10-01,222910.09375
2005-01-01,224370.296875
2005-04-01,227993.203125
2005-07-01,225595.0
2005-10-01,229023.203125
2006-01-01,232870.703125
2006-04-01,233004.703125
2006-07-01,236836.09375
2006-10-01,240207.09375
2007-01-01,244955.296875
2007-04-01,248087.203125
2007-07-01,250745.90625
2007-10-01,255083.90625
2008-01-01,257962.203125
2008-04-01,263735.6875
2008-07-01,267072.59375
2008-10-01,257757.40625
2009-01-01,254717.796875
2009-04-01,257912.59375
2009-07-01,264064.0
2009-10-01,271567.0
2010-01-01,277928.59375
2010-04-01,279875.09375
2010-07-01,282536.59375
2010-10-01,287165.0
2011-01-01,291751.8125
2011-04-01,293249.1875
2011-07-01,292810.40625
2011-10-01,296146.40625
2012-01-01,292245.0
2012-04-01,296432.8125
2012-07-01,301966.09375
2012-10-01,302087.40625
2013-01-01,303183.3125
2013-04-01,308638.8125
2013-07-01,309173.5
2013-10-01,309812.8125
2014-01-01,313035.90625
2014-04-01,307458.3125
2014-07-01,307547.0
2014-10-01,309202.5
2015-01-01,307390.6875
2015-04-01,299220.09375
2015-07-01,294581.40625
2015-10-01,292324.1875
2016-01-01,287556.1875
2016-04-01,289756.3125
2016-07-01,287362.90625
2016-10-01,287219.6875
2017-01-01,290374.3125
2017-04-01,292180.8125
2017-07-01,293314.1875
2017-10-01,294843.8125
2018-01-01,295705.6875
2018-04-01,297051.6875
2018-07-01,299212.3125
2018-10-01,298164.3125
2019-01-01,299602.59375
2019-04-01,300702.09375
2019-07-01,300930.90625
2019-10-01,303482.0
2020-01-01,296861.40625
2020-04-01,270280.09375
2020-07-01,291726.09375
2020-10-01,302733.59375
2021-01-01,305716.0
2021-04-01,303605.09375
2021-07-01,303976.59375
2021-10-01,307542.59375
2022-01-01,310123.6875
2022-04-01,314053.0
2022-07-01,317100.40625
2022-10-01,317720.6875
2023-01-01,321688.1875
2023-04-01,324601.09375
2023-07-01,324782.6875
2023-10-01,324613.6875
2024-01-01,327135.5
